Session.ID,Session.Title,Date,Start.Time,Location
13204,Behavior: New technologies and analytical opportunities for improved inference about avian social structure,6/27/19,1030,12
13226,Behavior: Using playback experiments to investigate species discrimination in a hybridizing population of Blue-winged and Golden-winged Warblers,6/27/19,1045,12
13342,Behavior: Landscape-level information use shapes brown pelican (Pelecanus occidentalis) foraging behaviors,6/27/19,1100,12
13035,Behavior: Age-related variation in bite force in a long-lived seabird in the Galapagos,6/27/19,1115,12
12897,"Behavior: Effects of non-breeding rainfall on signal development, social behavior, and reproductive success in Red-backed Fairywrens",6/27/19,1130,12
12779,Behavior: Variability in the use of acoustic space between two tropical forest bird communities,6/27/19,1145,12
12963,Breeding biology: Can renesting be an effective reproductive strategy and how does it influence conservation of a threatened shorebird species?,6/27/19,1030,1
12757,Breeding biology: Nest Initiation Time and Distance to Water Predict Nest Success of the Hawaiian Stilt in Wetlands on O‘ahu,6/27/19,1045,1
13356,Breeding biology: Impacts of the December 2016 to August 2017 Bogoslof Island Eruption Event on a Major Alaskan Seabird Colony,6/27/19,1100,1
12985,Breeding biology: Measuring impacts of non-native species on cavity-nesting birds at the continental scale,6/27/19,1115,1
13260,Breeding biology: Decadal shifts in patterns and benefits of nesting near territorial predators by tundra-nesting sea ducks,6/27/19,1130,1
13140,Breeding biology: Consequences of nest outcome on investment into later broods by Gray Catbirds,6/27/19,1145,1
12902,Citizen science: Eggshell characteristics as predictors of heavy metal concentration in House Sparrow eggs,6/27/19,1030,2
12709,Citizen science: The role of eBird in fine-scale distribution and density modeling,6/27/19,1045,2
13052,Citizen science: Webcams as an untapped opportunity to conduct citizen science: Six years of the American Kestrel Partnership's KestrelCam,6/27/19,1100,2
13529,Citizen science: Tiger sharks eat passerines: exploring the prevalence of a unique cross-system pulsed subsidy,6/27/19,1115,2
13333,"Citizen science: Birds Across Borders: Uniting Curriculum, Students, Cultures, and Generations",6/27/19,1130,2
13472,Citizen science: Creating diverse and quality habitat for birds through application of management guidelines for land managers in northern hardwood forests,6/27/19,1145,2
13031,Evolutionary ecology: Speciation on an island: Genetic differentiation in penguins and shags,6/27/19,1030,3
13389,Evolutionary ecology: The genomic landscape of microgeographic adaptive divergence in an island endemic,6/27/19,1045,3
13411,Evolutionary ecology: Genetic connectivity and differentiation among Horned Larks (Eremophila alpestris) along an elevational gradient in the White Mountains of California,6/27/19,1100,3
12934,Evolutionary ecology: Assessing the Influences of Habitat Structure on Bird Song Propagation,6/27/19,1115,3
12720,Evolutionary ecology: Life history structures phenotypic variation in avian functional traits,6/27/19,1130,3
13123,Evolutionary ecology: Factors mediating reproductive isolation between related species at contact zones,6/27/19,1145,3
12841,Foraging/Food habits: Gyrfalcon Dietary Plasticity in a Changing Tundra Ecosystem,6/27/19,1030,4
13207,"Foraging/Food habits: Canada Jay (Perisoreus canadensis) foraging ecology in Denali National Park and Preserve, Alaska",6/27/19,1045,4
13332,Foraging/Food habits: Trophic Transfer of Energy via Nestling Wading Birds to a Scavenger Community in an Oligotrophic Wetland,6/27/19,1100,4
13219,Foraging/Food habits: Using DNA metabarcoding to determine Seaside Sparrow diet following large-scale disturbances,6/27/19,1115,4
13167,Foraging/Food habits: Validating the barcode-biomass match: can DNA barcoding determine the contribution of arthropod taxa to the diet of birds?,6/27/19,1130,4
